EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 25-02-2015
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : daily Precipitation amount in 0.1 mm
23-27 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SLOVENIA, MARIBOR-LETALISCE (STAID: 3331).
Blended and updated with sources: 115156 914026 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
115156,19761201,-9999,    9
115156,19761202,-9999,    9
115156,19761203,-9999,    9
115156,19761204,-9999,    9
115156,19761205,-9999,    9
115156,19761206,-9999,    9
115156,19761207,-9999,    9
115156,19761208,-9999,    9
115156,19761209,-9999,    9
115156,19761210,-9999,    9
115156,19761211,-9999,    9
115156,19761212,-9999,    9
115156,19761213,-9999,    9
115156,19761214,-9999,    9
115156,19761215,-9999,    9
115156,19761216,-9999,    9
115156,19761217,-9999,    9
115156,19761218,-9999,    9
115156,19761219,-9999,    9
115156,19761220,-9999,    9
115156,19761221,-9999,    9
115156,19761222,-9999,    9
115156,19761223,-9999,    9
115156,19761224,-9999,    9
115156,19761225,-9999,    9
115156,19761226,-9999,    9
115156,19761227,-9999,    9
115156,19761228,-9999,    9
115156,19761229,-9999,    9
115156,19761230,-9999,    9
115156,19761231,    0,    0
115156,19770101,    0,    0
115156,19770102,   62,    0
115156,19770103,  121,    0
115156,19770104,   41,    0
115156,19770105,    3,    0
115156,19770106,    0,    0
115156,19770107,    7,    0
115156,19770108,    0,    0
115156,19770109,   27,    0
115156,19770110,    0,    0
115156,19770111,    7,    0
115156,19770112,   85,    0
115156,19770113,  280,    0
115156,19770114,   25,    0
115156,19770115,   75,    0
115156,19770116,    0,    0
115156,19770117,    0,    0
