"T [°C]", "I [mA]", "dT", "dI"
26., 0.0096, 0.5, 0.0001
27., 0.0102, 0.5, 0.0001
28., 0.0125, 0.5, 0.0001
29., 0.013, 0.5, 0.0001
30., 0.0142, 0.5, 0.0001
31., 0.0155, 0.5, 0.0001
32., 0.0166, 0.5, 0.0001
33., 0.018, 0.5, 0.0001
34., 0.0194, 0.5, 0.0001
35., 0.0232, 0.5, 0.0001
36., 0.0235, 0.5, 0.0001
37., 0.0264, 0.5, 0.0001
38., 0.0294, 0.5, 0.0001
39., 0.0317, 0.5, 0.0001
40., 0.0335, 0.5, 0.0001
41., 0.0374, 0.5, 0.0001
42., 0.0404, 0.5, 0.0001
43., 0.0465, 0.5, 0.0001
44., 0.0506, 0.5, 0.0001
45., 0.0549, 0.5, 0.0001
46., 0.0581, 0.5, 0.0001
47., 0.062, 0.5, 0.0001
48., 0.0711, 0.5, 0.0001
49., 0.0749, 0.5, 0.0001
50., 0.0802, 0.5, 0.0001
51., 0.0842, 0.5, 0.0001
52., 0.0911, 0.5, 0.0001
53., 0.0997, 0.5, 0.0001
54., 0.1067, 0.5, 0.0001
55., 0.1145, 0.5, 0.0001
56., 0.1253, 0.5, 0.0001
57., 0.1442, 0.5, 0.0001
58., 0.1502, 0.5, 0.0001
59., 0.1639, 0.5, 0.0001
60., 0.19, 0.5, 0.0001
